26-03-19 15:35:10.359 :   task: train
  gpu_ids: [0]
  log_path: ./log
  model_save: ./model_save
  pretained_path:[
    index: True
    path: ./model_save/model_best1.pth
  ]
  batch_size: 4
  nc: [16, 1]
  patch_size: [128, 128]
  stride_size: [16, 16]
  atoms: 50
  d_size: 3
  max_epoch: 1000
  stage: 3
  lr: 0.0001
  loss_function_index: 1
  n_channels: 1
  train:[
    sigma: [15, 50]
    dataroot_H: ./dataset/gray_train_all
    H_size: 128
    n_channels: 1
  ]
  valid:[
    sigma: [15, 25, 50]
    dataroot_H: ./dataset/gray_test
    n_channels: 1
  ]
  opt_path: ./options/train_options.json
  is_train: True
  scale: 1

26-03-19 15:35:10.368 : 训练集大小: 1120
26-03-19 15:35:10.368 : 验证集数量: 720 (每个 sigma 一个 Dataset)
26-03-19 15:35:11.382 : Number of parameter: 3.25M
26-03-19 15:35:11.382 : start training...
26-03-19 15:37:54.430 : epoch:[1/1000], 平均loss: 0.0273
26-03-19 15:40:35.139 : epoch:[2/1000], 平均loss: 0.0268
26-03-19 15:43:19.731 : epoch:[3/1000], 平均loss: 0.0264
26-03-19 15:45:59.040 : epoch:[4/1000], 平均loss: 0.0268
26-03-19 15:48:38.667 : epoch:[5/1000], 平均loss: 0.0263
26-03-19 15:51:25.127 : epoch:[6/1000], 平均loss: 0.0264
26-03-19 15:54:04.885 : epoch:[7/1000], 平均loss: 0.0259
26-03-19 15:56:42.978 : epoch:[8/1000], 平均loss: 0.0259
26-03-19 15:59:20.937 : epoch:[9/1000], 平均loss: 0.0252
26-03-19 16:01:59.047 : epoch:[10/1000], 平均loss: 0.0252
26-03-19 16:05:12.027 : [epoch 10 PSNR: 30.7305 Best: 30.7305]
26-03-19 16:07:52.962 : epoch:[11/1000], 平均loss: 0.0250
26-03-19 16:10:31.322 : epoch:[12/1000], 平均loss: 0.0253
26-03-19 16:13:18.211 : epoch:[13/1000], 平均loss: 0.0249
26-03-19 16:16:02.108 : epoch:[14/1000], 平均loss: 0.0248
26-03-19 16:18:42.300 : epoch:[15/1000], 平均loss: 0.0248
26-03-19 16:21:21.810 : epoch:[16/1000], 平均loss: 0.0250
26-03-19 16:23:59.985 : epoch:[17/1000], 平均loss: 0.0246
26-03-19 16:26:41.210 : epoch:[18/1000], 平均loss: 0.0245
26-03-19 16:29:24.520 : epoch:[19/1000], 平均loss: 0.0241
26-03-19 16:32:04.263 : epoch:[20/1000], 平均loss: 0.0241
26-03-19 16:35:17.734 : [epoch 20 PSNR: 31.1833 Best: 31.1833]
26-03-19 16:37:57.664 : epoch:[21/1000], 平均loss: 0.0242
26-03-19 16:40:36.641 : epoch:[22/1000], 平均loss: 0.0243
26-03-19 16:43:15.350 : epoch:[23/1000], 平均loss: 0.0240
26-03-19 16:45:53.976 : epoch:[24/1000], 平均loss: 0.0238
26-03-19 16:48:34.497 : epoch:[25/1000], 平均loss: 0.0239
26-03-19 16:51:17.737 : epoch:[26/1000], 平均loss: 0.0238
26-03-19 16:54:01.014 : epoch:[27/1000], 平均loss: 0.0240
26-03-19 16:56:44.294 : epoch:[28/1000], 平均loss: 0.0238
26-03-19 16:59:29.842 : epoch:[29/1000], 平均loss: 0.0238
26-03-19 17:02:14.711 : epoch:[30/1000], 平均loss: 0.0240
26-03-19 17:05:29.641 : [epoch 30 PSNR: 31.3355 Best: 31.3355]
26-03-19 17:08:14.359 : epoch:[31/1000], 平均loss: 0.0236
26-03-19 17:10:57.364 : epoch:[32/1000], 平均loss: 0.0238
26-03-19 17:13:43.602 : epoch:[33/1000], 平均loss: 0.0235
26-03-19 17:16:28.198 : epoch:[34/1000], 平均loss: 0.0235
26-03-19 17:19:12.524 : epoch:[35/1000], 平均loss: 0.0236
26-03-19 17:21:55.605 : epoch:[36/1000], 平均loss: 0.0234
26-03-19 17:24:39.950 : epoch:[37/1000], 平均loss: 0.0234
26-03-19 17:27:23.064 : epoch:[38/1000], 平均loss: 0.0235
26-03-19 17:30:07.210 : epoch:[39/1000], 平均loss: 0.0234
26-03-19 17:32:51.248 : epoch:[40/1000], 平均loss: 0.0233
26-03-19 17:36:07.365 : [epoch 40 PSNR: 31.3933 Best: 31.3933]
26-03-19 17:38:50.829 : epoch:[41/1000], 平均loss: 0.0234
26-03-19 17:41:33.569 : epoch:[42/1000], 平均loss: 0.0233
26-03-19 17:44:16.474 : epoch:[43/1000], 平均loss: 0.0232
26-03-19 17:47:00.189 : epoch:[44/1000], 平均loss: 0.0233
26-03-19 17:49:43.985 : epoch:[45/1000], 平均loss: 0.0233
26-03-19 17:52:27.454 : epoch:[46/1000], 平均loss: 0.0233
26-03-19 17:55:10.717 : epoch:[47/1000], 平均loss: 0.0233
26-03-19 17:57:54.164 : epoch:[48/1000], 平均loss: 0.0234
26-03-19 18:00:38.116 : epoch:[49/1000], 平均loss: 0.0235
26-03-19 18:03:21.083 : epoch:[50/1000], 平均loss: 0.0233
26-03-19 18:06:37.169 : [epoch 50 PSNR: 31.4755 Best: 31.4755]
26-03-19 18:09:21.841 : epoch:[51/1000], 平均loss: 0.0232
26-03-19 18:12:04.932 : epoch:[52/1000], 平均loss: 0.0232
26-03-19 18:14:46.946 : epoch:[53/1000], 平均loss: 0.0232
26-03-19 18:17:24.789 : epoch:[54/1000], 平均loss: 0.0230
26-03-19 18:20:02.682 : epoch:[55/1000], 平均loss: 0.0233
26-03-19 18:22:41.073 : epoch:[56/1000], 平均loss: 0.0232
26-03-19 18:25:18.918 : epoch:[57/1000], 平均loss: 0.0230
26-03-19 18:27:56.643 : epoch:[58/1000], 平均loss: 0.0232
26-03-19 18:30:34.201 : epoch:[59/1000], 平均loss: 0.0231
26-03-19 18:33:11.979 : epoch:[60/1000], 平均loss: 0.0230
26-03-19 18:36:23.508 : [epoch 60 PSNR: 31.5268 Best: 31.5268]
26-03-19 18:39:01.512 : epoch:[61/1000], 平均loss: 0.0232
26-03-19 18:41:39.004 : epoch:[62/1000], 平均loss: 0.0233
26-03-19 18:44:16.782 : epoch:[63/1000], 平均loss: 0.0231
26-03-19 18:46:59.806 : epoch:[64/1000], 平均loss: 0.0232
26-03-19 18:49:38.832 : epoch:[65/1000], 平均loss: 0.0230
26-03-19 18:52:16.392 : epoch:[66/1000], 平均loss: 0.0231
26-03-19 18:54:53.365 : epoch:[67/1000], 平均loss: 0.0231
26-03-19 18:57:30.744 : epoch:[68/1000], 平均loss: 0.0229
26-03-19 19:00:08.336 : epoch:[69/1000], 平均loss: 0.0232
26-03-19 19:02:45.312 : epoch:[70/1000], 平均loss: 0.0228
26-03-19 19:05:56.424 : [epoch 70 PSNR: 31.5131 Best: 31.5268]
26-03-19 19:08:34.214 : epoch:[71/1000], 平均loss: 0.0230
26-03-19 19:11:12.073 : epoch:[72/1000], 平均loss: 0.0230
26-03-19 19:13:49.916 : epoch:[73/1000], 平均loss: 0.0231
26-03-19 19:16:27.725 : epoch:[74/1000], 平均loss: 0.0229
26-03-19 19:19:05.452 : epoch:[75/1000], 平均loss: 0.0229
26-03-19 19:21:43.111 : epoch:[76/1000], 平均loss: 0.0230
26-03-19 19:24:20.703 : epoch:[77/1000], 平均loss: 0.0228
26-03-19 19:26:58.196 : epoch:[78/1000], 平均loss: 0.0231
26-03-19 19:29:36.106 : epoch:[79/1000], 平均loss: 0.0230
26-03-19 19:32:13.228 : epoch:[80/1000], 平均loss: 0.0229
26-03-19 19:35:24.409 : [epoch 80 PSNR: 31.5157 Best: 31.5268]
26-03-19 19:38:01.948 : epoch:[81/1000], 平均loss: 0.0227
26-03-19 19:40:38.923 : epoch:[82/1000], 平均loss: 0.0230
26-03-19 19:43:16.800 : epoch:[83/1000], 平均loss: 0.0229
26-03-19 19:45:55.508 : epoch:[84/1000], 平均loss: 0.0230
26-03-19 19:48:33.319 : epoch:[85/1000], 平均loss: 0.0229
26-03-19 19:51:10.945 : epoch:[86/1000], 平均loss: 0.0229
26-03-19 19:53:48.489 : epoch:[87/1000], 平均loss: 0.0229
26-03-19 19:56:26.130 : epoch:[88/1000], 平均loss: 0.0231
26-03-19 19:59:03.973 : epoch:[89/1000], 平均loss: 0.0229
26-03-19 20:01:41.015 : epoch:[90/1000], 平均loss: 0.0230
26-03-19 20:04:52.286 : [epoch 90 PSNR: 31.5722 Best: 31.5722]
26-03-19 20:07:30.151 : epoch:[91/1000], 平均loss: 0.0230
26-03-19 20:10:07.894 : epoch:[92/1000], 平均loss: 0.0230
26-03-19 20:12:44.866 : epoch:[93/1000], 平均loss: 0.0229
26-03-19 20:15:22.744 : epoch:[94/1000], 平均loss: 0.0228
26-03-19 20:18:00.756 : epoch:[95/1000], 平均loss: 0.0228
26-03-19 20:20:37.945 : epoch:[96/1000], 平均loss: 0.0229
26-03-19 20:23:15.657 : epoch:[97/1000], 平均loss: 0.0229
26-03-19 20:25:53.496 : epoch:[98/1000], 平均loss: 0.0228
26-03-19 20:28:31.393 : epoch:[99/1000], 平均loss: 0.0229
26-03-19 20:31:10.018 : epoch:[100/1000], 平均loss: 0.0228
26-03-19 20:34:21.637 : [epoch 100 PSNR: 31.5816 Best: 31.5816]
26-03-19 20:36:59.536 : epoch:[101/1000], 平均loss: 0.0228
26-03-19 20:39:37.427 : epoch:[102/1000], 平均loss: 0.0230
26-03-19 20:42:15.405 : epoch:[103/1000], 平均loss: 0.0229
26-03-19 20:44:52.660 : epoch:[104/1000], 平均loss: 0.0228
26-03-19 20:47:30.323 : epoch:[105/1000], 平均loss: 0.0228
26-03-19 20:50:08.182 : epoch:[106/1000], 平均loss: 0.0231
26-03-19 20:52:46.807 : epoch:[107/1000], 平均loss: 0.0229
26-03-19 20:55:24.784 : epoch:[108/1000], 平均loss: 0.0230
26-03-19 20:58:02.576 : epoch:[109/1000], 平均loss: 0.0230
26-03-19 21:00:40.018 : epoch:[110/1000], 平均loss: 0.0230
26-03-19 21:03:51.306 : [epoch 110 PSNR: 31.6029 Best: 31.6029]
26-03-19 21:06:29.253 : epoch:[111/1000], 平均loss: 0.0230
26-03-19 21:09:07.113 : epoch:[112/1000], 平均loss: 0.0228
26-03-19 21:11:44.988 : epoch:[113/1000], 平均loss: 0.0227
26-03-19 21:14:22.432 : epoch:[114/1000], 平均loss: 0.0228
26-03-19 21:17:00.257 : epoch:[115/1000], 平均loss: 0.0227
26-03-19 21:19:38.068 : epoch:[116/1000], 平均loss: 0.0230
26-03-19 21:22:15.809 : epoch:[117/1000], 平均loss: 0.0228
26-03-19 21:24:54.301 : epoch:[118/1000], 平均loss: 0.0230
26-03-19 21:27:31.979 : epoch:[119/1000], 平均loss: 0.0229
26-03-19 21:30:09.869 : epoch:[120/1000], 平均loss: 0.0229
26-03-19 21:33:21.155 : [epoch 120 PSNR: 31.6199 Best: 31.6199]
26-03-19 21:35:59.054 : epoch:[121/1000], 平均loss: 0.0228
26-03-19 21:38:36.277 : epoch:[122/1000], 平均loss: 0.0226
26-03-19 21:41:13.841 : epoch:[123/1000], 平均loss: 0.0227
26-03-19 21:43:51.800 : epoch:[124/1000], 平均loss: 0.0228
26-03-19 21:46:29.908 : epoch:[125/1000], 平均loss: 0.0227
26-03-19 21:49:07.551 : epoch:[126/1000], 平均loss: 0.0227
26-03-19 21:51:45.227 : epoch:[127/1000], 平均loss: 0.0228
26-03-19 21:54:22.954 : epoch:[128/1000], 平均loss: 0.0226
26-03-19 21:57:00.596 : epoch:[129/1000], 平均loss: 0.0229
26-03-19 21:59:38.088 : epoch:[130/1000], 平均loss: 0.0226
26-03-19 22:02:49.531 : [epoch 130 PSNR: 31.6053 Best: 31.6199]
26-03-19 22:05:27.207 : epoch:[131/1000], 平均loss: 0.0229
26-03-19 22:08:04.781 : epoch:[132/1000], 平均loss: 0.0227
26-03-19 22:10:41.673 : epoch:[133/1000], 平均loss: 0.0228
26-03-19 22:13:19.368 : epoch:[134/1000], 平均loss: 0.0227
26-03-19 22:15:57.143 : epoch:[135/1000], 平均loss: 0.0227
26-03-19 22:18:35.369 : epoch:[136/1000], 平均loss: 0.0228
26-03-19 22:21:13.029 : epoch:[137/1000], 平均loss: 0.0228
26-03-19 22:23:50.638 : epoch:[138/1000], 平均loss: 0.0229
26-03-19 22:26:27.999 : epoch:[139/1000], 平均loss: 0.0227
26-03-19 22:29:05.773 : epoch:[140/1000], 平均loss: 0.0227
26-03-19 22:32:17.153 : [epoch 140 PSNR: 31.6251 Best: 31.6251]
26-03-19 22:34:54.789 : epoch:[141/1000], 平均loss: 0.0229
26-03-19 22:37:32.200 : epoch:[142/1000], 平均loss: 0.0227
26-03-19 22:40:09.759 : epoch:[143/1000], 平均loss: 0.0227
26-03-19 22:42:47.967 : epoch:[144/1000], 平均loss: 0.0228
26-03-19 22:45:25.778 : epoch:[145/1000], 平均loss: 0.0229
26-03-19 22:48:03.470 : epoch:[146/1000], 平均loss: 0.0227
26-03-19 22:50:40.512 : epoch:[147/1000], 平均loss: 0.0228
26-03-19 22:53:17.723 : epoch:[148/1000], 平均loss: 0.0227
