26-03-23 19:27:05.389 :   task: train
  gpu_ids: [0]
  log_path: ./log
  model_save: ./model_save
  pretained_path:[
    index: False
    path: ./model_save/model_best1.pth
  ]
  batch_size: 4
  nc: [16, 1]
  patch_size: [128, 128]
  stride_size: [16, 16]
  atoms: 50
  d_size: 3
  max_epoch: 1000
  stage: 3
  lr: 0.0001
  loss_function_index: 1
  n_channels: 1
  train:[
    sigma: [15, 50]
    dataroot_H: ./dataset/gray_train_all
    H_size: 128
    n_channels: 1
  ]
  valid:[
    sigma: [15, 25, 50]
    dataroot_H: ./dataset/gray_test
    n_channels: 1
  ]
  opt_path: ./options/train_options.json
  is_train: True
  scale: 1

26-03-23 19:27:05.399 : 训练集大小: 1120
26-03-23 19:27:05.399 : 验证集数量: 720 (每个 sigma 一个 Dataset)
26-03-23 19:27:06.449 : Number of parameter: 3.26M
26-03-23 19:27:06.450 : start training...
26-03-23 19:29:55.466 : epoch:[1/1000], 平均loss: 0.0844
26-03-23 19:32:37.290 : epoch:[2/1000], 平均loss: 0.0375
26-03-23 19:35:17.585 : epoch:[3/1000], 平均loss: 0.0335
26-03-23 19:37:56.772 : epoch:[4/1000], 平均loss: 0.0319
26-03-23 19:40:34.798 : epoch:[5/1000], 平均loss: 0.0306
26-03-23 19:43:14.840 : epoch:[6/1000], 平均loss: 0.0298
26-03-23 19:45:54.279 : epoch:[7/1000], 平均loss: 0.0289
26-03-23 19:48:33.972 : epoch:[8/1000], 平均loss: 0.0285
26-03-23 19:51:13.353 : epoch:[9/1000], 平均loss: 0.0280
26-03-23 19:53:52.645 : epoch:[10/1000], 平均loss: 0.0270
26-03-23 19:57:07.492 : [epoch 10 PSNR: 30.3422 Best: 30.3422]
26-03-23 19:59:47.664 : epoch:[11/1000], 平均loss: 0.0271
26-03-23 20:02:26.171 : epoch:[12/1000], 平均loss: 0.0270
26-03-23 20:05:05.835 : epoch:[13/1000], 平均loss: 0.0265
26-03-23 20:07:44.175 : epoch:[14/1000], 平均loss: 0.0266
26-03-23 20:10:22.696 : epoch:[15/1000], 平均loss: 0.0265
26-03-23 20:13:01.405 : epoch:[16/1000], 平均loss: 0.0265
26-03-23 20:15:40.406 : epoch:[17/1000], 平均loss: 0.0263
26-03-23 20:18:19.540 : epoch:[18/1000], 平均loss: 0.0258
26-03-23 20:20:58.708 : epoch:[19/1000], 平均loss: 0.0255
26-03-23 20:23:38.082 : epoch:[20/1000], 平均loss: 0.0256
26-03-23 20:26:53.309 : [epoch 20 PSNR: 30.8236 Best: 30.8236]
26-03-23 20:29:32.072 : epoch:[21/1000], 平均loss: 0.0255
26-03-23 20:32:12.364 : epoch:[22/1000], 平均loss: 0.0257
26-03-23 20:34:52.515 : epoch:[23/1000], 平均loss: 0.0256
26-03-23 20:37:32.535 : epoch:[24/1000], 平均loss: 0.0254
26-03-23 20:40:12.250 : epoch:[25/1000], 平均loss: 0.0254
26-03-23 20:42:52.018 : epoch:[26/1000], 平均loss: 0.0252
26-03-23 20:45:32.094 : epoch:[27/1000], 平均loss: 0.0251
26-03-23 20:48:12.156 : epoch:[28/1000], 平均loss: 0.0245
26-03-23 20:50:50.905 : epoch:[29/1000], 平均loss: 0.0250
26-03-23 20:53:30.340 : epoch:[30/1000], 平均loss: 0.0248
26-03-23 20:56:45.227 : [epoch 30 PSNR: 31.0120 Best: 31.0120]
26-03-23 20:59:24.462 : epoch:[31/1000], 平均loss: 0.0248
26-03-23 21:02:04.362 : epoch:[32/1000], 平均loss: 0.0247
26-03-23 21:04:44.040 : epoch:[33/1000], 平均loss: 0.0246
26-03-23 21:07:23.419 : epoch:[34/1000], 平均loss: 0.0245
26-03-23 21:10:01.913 : epoch:[35/1000], 平均loss: 0.0246
26-03-23 21:12:41.230 : epoch:[36/1000], 平均loss: 0.0246
26-03-23 21:15:21.079 : epoch:[37/1000], 平均loss: 0.0244
26-03-23 21:17:59.726 : epoch:[38/1000], 平均loss: 0.0244
26-03-23 21:20:39.500 : epoch:[39/1000], 平均loss: 0.0242
26-03-23 21:23:20.029 : epoch:[40/1000], 平均loss: 0.0244
26-03-23 21:26:35.181 : [epoch 40 PSNR: 31.1534 Best: 31.1534]
26-03-23 21:29:15.772 : epoch:[41/1000], 平均loss: 0.0244
26-03-23 21:31:58.542 : epoch:[42/1000], 平均loss: 0.0243
26-03-23 21:34:38.603 : epoch:[43/1000], 平均loss: 0.0240
26-03-23 21:37:18.479 : epoch:[44/1000], 平均loss: 0.0244
26-03-23 21:39:58.583 : epoch:[45/1000], 平均loss: 0.0241
26-03-23 21:42:38.496 : epoch:[46/1000], 平均loss: 0.0241
26-03-23 21:45:18.337 : epoch:[47/1000], 平均loss: 0.0240
26-03-23 21:47:57.440 : epoch:[48/1000], 平均loss: 0.0240
26-03-23 21:50:36.009 : epoch:[49/1000], 平均loss: 0.0243
26-03-23 21:53:15.813 : epoch:[50/1000], 平均loss: 0.0240
26-03-23 21:56:30.605 : [epoch 50 PSNR: 31.2368 Best: 31.2368]
26-03-23 21:59:11.051 : epoch:[51/1000], 平均loss: 0.0241
26-03-23 22:01:49.808 : epoch:[52/1000], 平均loss: 0.0240
26-03-23 22:04:29.562 : epoch:[53/1000], 平均loss: 0.0243
26-03-23 22:07:08.492 : epoch:[54/1000], 平均loss: 0.0242
