26-03-24 20:25:04.040 :   task: train
  gpu_ids: [0]
  log_path: ./log
  model_save: ./model_save
  pretained_path:[
    index: False
    path: ./model_save/model_best1.pth
  ]
  batch_size: 4
  nc: [16, 1]
  patch_size: [128, 128]
  stride_size: [16, 16]
  atoms: 50
  d_size: 3
  max_epoch: 1000
  stage: 3
  lr: 0.0001
  loss_function_index: 1
  n_channels: 1
  train:[
    sigma: [15, 50]
    dataroot_H: ./dataset/gray_train_all
    H_size: 128
    n_channels: 1
  ]
  valid:[
    sigma: [15, 25, 50]
    dataroot_H: ./dataset/gray_test
    n_channels: 1
  ]
  opt_path: ./options/train_options.json
  is_train: True
  scale: 1

26-03-24 20:25:04.048 : 训练集大小: 1120
26-03-24 20:25:04.048 : 验证集数量: 720 (每个 sigma 一个 Dataset)
26-03-24 20:25:05.072 : Number of parameter: 3.34M
26-03-24 20:25:05.072 : start training...
26-03-24 20:28:03.785 : epoch:[1/1000], 平均loss: 34992.2708
26-03-24 20:30:59.874 : epoch:[2/1000], 平均loss: 0.0371
26-03-24 20:33:48.742 : epoch:[3/1000], 平均loss: 0.0341
26-03-24 20:36:38.074 : epoch:[4/1000], 平均loss: 0.0320
26-03-24 20:39:25.834 : epoch:[5/1000], 平均loss: 0.0301
26-03-24 20:42:15.402 : epoch:[6/1000], 平均loss: 0.0296
26-03-24 20:45:04.996 : epoch:[7/1000], 平均loss: 0.0290
26-03-24 20:47:54.026 : epoch:[8/1000], 平均loss: 0.0284
26-03-24 20:50:41.036 : epoch:[9/1000], 平均loss: 0.0279
26-03-24 20:53:30.136 : epoch:[10/1000], 平均loss: 0.0275
26-03-24 20:56:51.886 : [epoch 10 PSNR: 30.3219 Best: 30.3219]
26-03-24 20:59:47.218 : epoch:[11/1000], 平均loss: 0.0271
26-03-24 21:02:39.767 : epoch:[12/1000], 平均loss: 0.0271
26-03-24 21:05:26.299 : epoch:[13/1000], 平均loss: 0.0268
26-03-24 21:08:08.990 : epoch:[14/1000], 平均loss: 0.0265
26-03-24 21:10:51.433 : epoch:[15/1000], 平均loss: 0.0265
26-03-24 21:13:37.243 : epoch:[16/1000], 平均loss: 0.0266
26-03-24 21:16:19.934 : epoch:[17/1000], 平均loss: 0.0263
26-03-24 21:19:04.078 : epoch:[18/1000], 平均loss: 0.0262
26-03-24 21:21:46.502 : epoch:[19/1000], 平均loss: 0.0258
26-03-24 21:24:28.996 : epoch:[20/1000], 平均loss: 0.0257
26-03-24 21:27:45.814 : [epoch 20 PSNR: 30.7575 Best: 30.7575]
26-03-24 21:30:28.895 : epoch:[21/1000], 平均loss: 0.0257
26-03-24 21:33:13.137 : epoch:[22/1000], 平均loss: 0.0256
26-03-24 21:35:55.546 : epoch:[23/1000], 平均loss: 0.0255
26-03-24 21:38:37.820 : epoch:[24/1000], 平均loss: 0.0253
26-03-24 21:41:20.332 : epoch:[25/1000], 平均loss: 0.0252
26-03-24 21:44:03.923 : epoch:[26/1000], 平均loss: 0.0252
26-03-24 21:46:46.549 : epoch:[27/1000], 平均loss: 0.0253
26-03-24 21:49:30.060 : epoch:[28/1000], 平均loss: 0.0251
26-03-24 21:52:13.502 : epoch:[29/1000], 平均loss: 0.0250
26-03-24 21:54:57.011 : epoch:[30/1000], 平均loss: 0.0248
26-03-24 21:58:13.859 : [epoch 30 PSNR: 30.9686 Best: 30.9686]
26-03-24 22:00:57.544 : epoch:[31/1000], 平均loss: 0.0248
26-03-24 22:03:40.836 : epoch:[32/1000], 平均loss: 0.0249
26-03-24 22:06:23.127 : epoch:[33/1000], 平均loss: 0.0246
26-03-24 22:09:05.303 : epoch:[34/1000], 平均loss: 0.0245
26-03-24 22:11:47.530 : epoch:[35/1000], 平均loss: 0.0249
26-03-24 22:14:30.922 : epoch:[36/1000], 平均loss: 0.0246
26-03-24 22:17:14.250 : epoch:[37/1000], 平均loss: 0.0244
26-03-24 22:19:58.057 : epoch:[38/1000], 平均loss: 0.0246
26-03-24 22:22:40.131 : epoch:[39/1000], 平均loss: 0.0244
26-03-24 22:25:22.274 : epoch:[40/1000], 平均loss: 0.0243
26-03-24 22:28:38.978 : [epoch 40 PSNR: 31.1112 Best: 31.1112]
26-03-24 22:31:21.574 : epoch:[41/1000], 平均loss: 0.0244
26-03-24 22:34:05.035 : epoch:[42/1000], 平均loss: 0.0242
26-03-24 22:36:47.860 : epoch:[43/1000], 平均loss: 0.0239
26-03-24 22:39:31.636 : epoch:[44/1000], 平均loss: 0.0243
26-03-24 22:42:13.762 : epoch:[45/1000], 平均loss: 0.0241
26-03-24 22:44:55.936 : epoch:[46/1000], 平均loss: 0.0243
26-03-24 22:47:39.196 : epoch:[47/1000], 平均loss: 0.0241
26-03-24 22:50:21.272 : epoch:[48/1000], 平均loss: 0.0241
26-03-24 22:53:03.331 : epoch:[49/1000], 平均loss: 0.0241
26-03-24 22:55:45.306 : epoch:[50/1000], 平均loss: 0.0242
26-03-24 22:59:01.644 : [epoch 50 PSNR: 31.2137 Best: 31.2137]
26-03-24 23:01:44.608 : epoch:[51/1000], 平均loss: 0.0242
26-03-24 23:04:27.666 : epoch:[52/1000], 平均loss: 0.0241
26-03-24 23:07:11.025 : epoch:[53/1000], 平均loss: 0.0242
26-03-24 23:09:54.601 : epoch:[54/1000], 平均loss: 0.0240
26-03-24 23:12:36.676 : epoch:[55/1000], 平均loss: 0.0242
26-03-24 23:15:18.836 : epoch:[56/1000], 平均loss: 0.0241
26-03-24 23:18:00.945 : epoch:[57/1000], 平均loss: 0.0241
26-03-24 23:20:43.104 : epoch:[58/1000], 平均loss: 0.0241
26-03-24 23:23:26.514 : epoch:[59/1000], 平均loss: 0.0241
26-03-24 23:26:09.872 : epoch:[60/1000], 平均loss: 0.0238
26-03-24 23:29:26.543 : [epoch 60 PSNR: 31.2432 Best: 31.2432]
26-03-24 23:32:12.055 : epoch:[61/1000], 平均loss: 0.0238
26-03-24 23:34:55.648 : epoch:[62/1000], 平均loss: 0.0240
26-03-24 23:37:39.124 : epoch:[63/1000], 平均loss: 0.0241
26-03-24 23:40:22.433 : epoch:[64/1000], 平均loss: 0.0240
26-03-24 23:43:05.594 : epoch:[65/1000], 平均loss: 0.0239
26-03-24 23:45:49.102 : epoch:[66/1000], 平均loss: 0.0241
26-03-24 23:48:31.260 : epoch:[67/1000], 平均loss: 0.0239
26-03-24 23:51:13.270 : epoch:[68/1000], 平均loss: 0.0241
26-03-24 23:53:56.528 : epoch:[69/1000], 平均loss: 0.0239
26-03-24 23:56:40.189 : epoch:[70/1000], 平均loss: 0.0238
26-03-24 23:59:56.727 : [epoch 70 PSNR: 31.2877 Best: 31.2877]
26-03-25 00:02:39.218 : epoch:[71/1000], 平均loss: 0.0238
26-03-25 00:05:22.679 : epoch:[72/1000], 平均loss: 0.0237
26-03-25 00:08:04.821 : epoch:[73/1000], 平均loss: 0.0239
26-03-25 00:10:48.547 : epoch:[74/1000], 平均loss: 0.0238
26-03-25 00:13:31.707 : epoch:[75/1000], 平均loss: 0.0236
26-03-25 00:16:15.150 : epoch:[76/1000], 平均loss: 0.0240
26-03-25 00:18:57.224 : epoch:[77/1000], 平均loss: 0.0237
26-03-25 00:21:40.886 : epoch:[78/1000], 平均loss: 0.0235
26-03-25 00:24:23.008 : epoch:[79/1000], 平均loss: 0.0239
26-03-25 00:27:05.135 : epoch:[80/1000], 平均loss: 0.0238
26-03-25 00:30:21.948 : [epoch 80 PSNR: 31.2502 Best: 31.2877]
26-03-25 00:33:04.384 : epoch:[81/1000], 平均loss: 0.0236
26-03-25 00:35:46.811 : epoch:[82/1000], 平均loss: 0.0236
26-03-25 00:38:28.753 : epoch:[83/1000], 平均loss: 0.0237
26-03-25 00:41:11.029 : epoch:[84/1000], 平均loss: 0.0236
26-03-25 00:43:53.555 : epoch:[85/1000], 平均loss: 0.0236
26-03-25 00:46:35.782 : epoch:[86/1000], 平均loss: 0.0237
26-03-25 00:49:19.158 : epoch:[87/1000], 平均loss: 0.0239
26-03-25 00:52:02.535 : epoch:[88/1000], 平均loss: 0.0236
26-03-25 00:54:46.009 : epoch:[89/1000], 平均loss: 0.0237
26-03-25 00:57:28.768 : epoch:[90/1000], 平均loss: 0.0235
26-03-25 01:00:45.265 : [epoch 90 PSNR: 31.2964 Best: 31.2964]
26-03-25 01:03:27.250 : epoch:[91/1000], 平均loss: 0.0238
26-03-25 01:06:09.259 : epoch:[92/1000], 平均loss: 0.0238
26-03-25 01:08:51.937 : epoch:[93/1000], 平均loss: 0.0234
26-03-25 01:11:35.030 : epoch:[94/1000], 平均loss: 0.0238
26-03-25 01:14:18.572 : epoch:[95/1000], 平均loss: 0.0235
26-03-25 01:17:00.647 : epoch:[96/1000], 平均loss: 0.0236
26-03-25 01:19:42.572 : epoch:[97/1000], 平均loss: 0.0236
26-03-25 01:22:25.664 : epoch:[98/1000], 平均loss: 0.0236
26-03-25 01:25:08.741 : epoch:[99/1000], 平均loss: 0.0235
26-03-25 01:27:52.234 : epoch:[100/1000], 平均loss: 0.0232
26-03-25 01:31:08.988 : [epoch 100 PSNR: 31.2990 Best: 31.2990]
26-03-25 01:33:51.634 : epoch:[101/1000], 平均loss: 0.0234
26-03-25 01:36:37.114 : epoch:[102/1000], 平均loss: 0.0233
26-03-25 01:39:19.488 : epoch:[103/1000], 平均loss: 0.0235
26-03-25 01:42:02.383 : epoch:[104/1000], 平均loss: 0.0236
26-03-25 01:44:44.657 : epoch:[105/1000], 平均loss: 0.0236
26-03-25 01:47:28.215 : epoch:[106/1000], 平均loss: 0.0236
26-03-25 01:50:13.925 : epoch:[107/1000], 平均loss: 0.0235
26-03-25 01:52:56.117 : epoch:[108/1000], 平均loss: 0.0234
26-03-25 01:55:38.175 : epoch:[109/1000], 平均loss: 0.0234
26-03-25 01:58:21.537 : epoch:[110/1000], 平均loss: 0.0235
26-03-25 02:01:37.756 : [epoch 110 PSNR: 31.3138 Best: 31.3138]
26-03-25 02:04:20.051 : epoch:[111/1000], 平均loss: 0.0234
26-03-25 02:07:03.345 : epoch:[112/1000], 平均loss: 0.0234
26-03-25 02:09:47.203 : epoch:[113/1000], 平均loss: 0.0235
26-03-25 02:12:29.379 : epoch:[114/1000], 平均loss: 0.0235
26-03-25 02:15:11.587 : epoch:[115/1000], 平均loss: 0.0235
26-03-25 02:17:54.547 : epoch:[116/1000], 平均loss: 0.0234
26-03-25 02:20:37.757 : epoch:[117/1000], 平均loss: 0.0235
26-03-25 02:23:19.832 : epoch:[118/1000], 平均loss: 0.0235
26-03-25 02:26:03.125 : epoch:[119/1000], 平均loss: 0.0234
26-03-25 02:28:45.133 : epoch:[120/1000], 平均loss: 0.0236
26-03-25 02:32:01.662 : [epoch 120 PSNR: 31.2999 Best: 31.3138]
26-03-25 02:34:43.783 : epoch:[121/1000], 平均loss: 0.0234
26-03-25 02:37:25.976 : epoch:[122/1000], 平均loss: 0.0234
26-03-25 02:40:07.817 : epoch:[123/1000], 平均loss: 0.0235
26-03-25 02:42:51.177 : epoch:[124/1000], 平均loss: 0.0234
26-03-25 02:45:33.905 : epoch:[125/1000], 平均loss: 0.0234
26-03-25 02:48:17.346 : epoch:[126/1000], 平均loss: 0.0236
26-03-25 02:51:00.788 : epoch:[127/1000], 平均loss: 0.0236
26-03-25 02:53:43.998 : epoch:[128/1000], 平均loss: 0.0234
26-03-25 02:56:27.590 : epoch:[129/1000], 平均loss: 0.0233
26-03-25 02:59:09.699 : epoch:[130/1000], 平均loss: 0.0232
26-03-25 03:02:26.468 : [epoch 130 PSNR: 31.3606 Best: 31.3606]
26-03-25 03:05:09.997 : epoch:[131/1000], 平均loss: 0.0234
26-03-25 03:07:52.091 : epoch:[132/1000], 平均loss: 0.0234
26-03-25 03:10:33.967 : epoch:[133/1000], 平均loss: 0.0235
26-03-25 03:13:17.009 : epoch:[134/1000], 平均loss: 0.0237
26-03-25 03:16:00.569 : epoch:[135/1000], 平均loss: 0.0235
26-03-25 03:18:43.929 : epoch:[136/1000], 平均loss: 0.0234
26-03-25 03:21:26.804 : epoch:[137/1000], 平均loss: 0.0233
26-03-25 03:24:10.363 : epoch:[138/1000], 平均loss: 0.0234
26-03-25 03:26:52.536 : epoch:[139/1000], 平均loss: 0.0233
26-03-25 03:29:35.630 : epoch:[140/1000], 平均loss: 0.0232
26-03-25 03:32:52.391 : [epoch 140 PSNR: 31.3405 Best: 31.3606]
26-03-25 03:35:34.662 : epoch:[141/1000], 平均loss: 0.0235
26-03-25 03:38:17.506 : epoch:[142/1000], 平均loss: 0.0235
26-03-25 03:40:59.666 : epoch:[143/1000], 平均loss: 0.0234
26-03-25 03:43:43.224 : epoch:[144/1000], 平均loss: 0.0234
26-03-25 03:46:26.718 : epoch:[145/1000], 平均loss: 0.0235
26-03-25 03:49:10.109 : epoch:[146/1000], 平均loss: 0.0236
26-03-25 03:51:53.535 : epoch:[147/1000], 平均loss: 0.0233
26-03-25 03:54:36.861 : epoch:[148/1000], 平均loss: 0.0234
26-03-25 03:57:18.869 : epoch:[149/1000], 平均loss: 0.0235
26-03-25 04:00:01.092 : epoch:[150/1000], 平均loss: 0.0234
26-03-25 04:03:17.957 : [epoch 150 PSNR: 31.3115 Best: 31.3606]
26-03-25 04:06:00.262 : epoch:[151/1000], 平均loss: 0.0233
26-03-25 04:08:43.795 : epoch:[152/1000], 平均loss: 0.0234
26-03-25 04:11:27.280 : epoch:[153/1000], 平均loss: 0.0235
26-03-25 04:14:09.755 : epoch:[154/1000], 平均loss: 0.0233
26-03-25 04:16:52.246 : epoch:[155/1000], 平均loss: 0.0233
26-03-25 04:19:35.740 : epoch:[156/1000], 平均loss: 0.0234
26-03-25 04:22:17.867 : epoch:[157/1000], 平均loss: 0.0233
26-03-25 04:25:00.391 : epoch:[158/1000], 平均loss: 0.0235
26-03-25 04:27:42.817 : epoch:[159/1000], 平均loss: 0.0234
26-03-25 04:30:25.259 : epoch:[160/1000], 平均loss: 0.0234
26-03-25 04:33:42.041 : [epoch 160 PSNR: 31.3865 Best: 31.3865]
26-03-25 04:36:25.694 : epoch:[161/1000], 平均loss: 0.0232
26-03-25 04:39:09.053 : epoch:[162/1000], 平均loss: 0.0231
26-03-25 04:41:52.562 : epoch:[163/1000], 平均loss: 0.0234
26-03-25 04:44:34.987 : epoch:[164/1000], 平均loss: 0.0235
26-03-25 04:47:18.747 : epoch:[165/1000], 平均loss: 0.0232
26-03-25 04:50:01.889 : epoch:[166/1000], 平均loss: 0.0235
26-03-25 04:52:45.181 : epoch:[167/1000], 平均loss: 0.0235
26-03-25 04:55:28.473 : epoch:[168/1000], 平均loss: 0.0235
26-03-25 04:58:10.399 : epoch:[169/1000], 平均loss: 0.0232
26-03-25 05:00:52.990 : epoch:[170/1000], 平均loss: 0.0233
26-03-25 05:04:09.467 : [epoch 170 PSNR: 31.3772 Best: 31.3865]
26-03-25 05:06:51.507 : epoch:[171/1000], 平均loss: 0.0234
26-03-25 05:09:33.584 : epoch:[172/1000], 平均loss: 0.0234
26-03-25 05:12:17.093 : epoch:[173/1000], 平均loss: 0.0234
26-03-25 05:14:59.001 : epoch:[174/1000], 平均loss: 0.0234
26-03-25 05:17:40.778 : epoch:[175/1000], 平均loss: 0.0233
26-03-25 05:20:22.770 : epoch:[176/1000], 平均loss: 0.0235
26-03-25 05:23:06.147 : epoch:[177/1000], 平均loss: 0.0232
26-03-25 05:25:48.271 : epoch:[178/1000], 平均loss: 0.0234
26-03-25 05:28:31.781 : epoch:[179/1000], 平均loss: 0.0231
26-03-25 05:31:14.923 : epoch:[180/1000], 平均loss: 0.0232
26-03-25 05:34:31.302 : [epoch 180 PSNR: 31.3399 Best: 31.3865]
26-03-25 05:37:14.807 : epoch:[181/1000], 平均loss: 0.0234
26-03-25 05:39:58.466 : epoch:[182/1000], 平均loss: 0.0234
26-03-25 05:42:40.841 : epoch:[183/1000], 平均loss: 0.0234
26-03-25 05:45:23.450 : epoch:[184/1000], 平均loss: 0.0233
26-03-25 05:48:05.808 : epoch:[185/1000], 平均loss: 0.0231
26-03-25 05:50:47.903 : epoch:[186/1000], 平均loss: 0.0232
26-03-25 05:53:30.077 : epoch:[187/1000], 平均loss: 0.0232
26-03-25 05:56:12.170 : epoch:[188/1000], 平均loss: 0.0234
26-03-25 05:58:55.112 : epoch:[189/1000], 平均loss: 0.0233
