26-04-05 17:39:29.858 :   task: train
  gpu_ids: [0]
  log_path: ./log
  model_save: ./model_save
  pretained_path:[
    index: False
    path: ./model_save/model_best1.pth
  ]
  batch_size: 4
  nc: [16, 1]
  patch_size: [128, 128]
  stride_size: [16, 16]
  atoms: 50
  d_size: 3
  max_epoch: 1000
  stage: 3
  lr: 0.0001
  loss_function_index: 1
  n_channels: 1
  train:[
    sigma: [15, 50]
    dataroot_H: ./dataset/gray_train_all
    H_size: 128
    n_channels: 1
  ]
  valid:[
    sigma: [15, 25, 50]
    dataroot_H: ./dataset/gray_test
    n_channels: 1
  ]
  opt_path: ./options/train_options.json
  is_train: True
  scale: 1

26-04-05 17:39:29.866 : 训练集大小: 1120
26-04-05 17:39:29.867 : 验证集数量: 720 (每个 sigma 一个 Dataset)
26-04-05 17:39:31.045 : Number of parameter: 3.25M
26-04-05 17:39:31.045 : start training...
26-04-05 17:42:15.045 : epoch:[1/1000], 平均loss: 0.0539
26-04-05 17:44:58.482 : epoch:[2/1000], 平均loss: 0.0340
26-04-05 17:47:39.541 : epoch:[3/1000], 平均loss: 0.0317
26-04-05 17:50:22.003 : epoch:[4/1000], 平均loss: 0.0305
26-04-05 17:53:05.100 : epoch:[5/1000], 平均loss: 0.0292
26-04-05 17:55:44.878 : epoch:[6/1000], 平均loss: 0.0289
26-04-05 17:58:24.296 : epoch:[7/1000], 平均loss: 0.0287
26-04-05 18:01:03.920 : epoch:[8/1000], 平均loss: 0.0281
26-04-05 18:03:45.713 : epoch:[9/1000], 平均loss: 0.0275
26-04-05 18:06:25.999 : epoch:[10/1000], 平均loss: 0.0273
26-04-05 18:09:38.917 : [epoch 10 PSNR: 30.2928 Best: 30.2928]
26-04-05 18:12:19.372 : epoch:[11/1000], 平均loss: 0.0268
26-04-05 18:15:02.444 : epoch:[12/1000], 平均loss: 0.0272
26-04-05 18:17:45.431 : epoch:[13/1000], 平均loss: 0.0266
26-04-05 18:20:28.349 : epoch:[14/1000], 平均loss: 0.0267
