26-05-06 22:51:43.099 :   task: train
  gpu_ids: [0]
  log_path: ./log
  model_save: ./model_save
  pretained_path:[
    index: False
    path: ./model_save/model_best1.pth
  ]
  batch_size: 4
  nc: [16, 1]
  patch_size: [128, 128]
  stride_size: [16, 16]
  atoms: 50
  d_size: 3
  max_epoch: 1000
  stage: 3
  lr: 0.0001
  loss_function_index: 1
  n_channels: 1
  train:[
    sigma: [0]
    dataroot_H: ./dataset/gray_train_all
    H_size: 128
    n_channels: 1
  ]
  valid:[
    sigma: [0]
    dataroot_H: ./dataset/gray_valid_all
    n_channels: 1
  ]
  opt_path: ./options/train_options.json
  is_train: True
  scale: 1

26-05-06 22:51:43.106 : 训练集大小: 1120
26-05-06 22:51:43.106 : 验证集数量: 240 (每个 sigma 一个 Dataset)
26-05-06 22:51:44.172 : Number of parameter: 3.26M
26-05-06 22:51:44.172 : start training...
26-05-06 22:54:24.001 : epoch:[1/1000], 平均loss: 0.0228
26-05-06 22:57:04.593 : epoch:[2/1000], 平均loss: 0.0058
26-05-06 22:59:41.499 : epoch:[3/1000], 平均loss: 0.0043
26-05-06 23:02:24.286 : epoch:[4/1000], 平均loss: 0.0027
26-05-06 23:04:58.978 : epoch:[5/1000], 平均loss: 0.0020
26-05-06 23:07:33.980 : epoch:[6/1000], 平均loss: 0.0018
26-05-06 23:10:08.763 : epoch:[7/1000], 平均loss: 0.0017
26-05-06 23:12:46.014 : epoch:[8/1000], 平均loss: 0.0015
26-05-06 23:15:22.595 : epoch:[9/1000], 平均loss: 0.0013
26-05-06 23:17:59.135 : epoch:[10/1000], 平均loss: 0.0010
26-05-06 23:19:03.904 : [epoch 10 PSNR: 62.8092 Best: 62.8092]
26-05-06 23:21:41.235 : epoch:[11/1000], 平均loss: 0.0013
26-05-06 23:24:18.554 : epoch:[12/1000], 平均loss: 0.0009
26-05-06 23:26:53.714 : epoch:[13/1000], 平均loss: 0.0007
26-05-06 23:29:30.663 : epoch:[14/1000], 平均loss: 0.0009
26-05-06 23:32:07.502 : epoch:[15/1000], 平均loss: 0.0010
26-05-06 23:34:44.718 : epoch:[16/1000], 平均loss: 0.0008
26-05-06 23:37:19.813 : epoch:[17/1000], 平均loss: 0.0007
26-05-06 23:39:54.917 : epoch:[18/1000], 平均loss: 0.0008
26-05-06 23:42:29.644 : epoch:[19/1000], 平均loss: 0.0006
26-05-06 23:45:06.953 : epoch:[20/1000], 平均loss: 0.0005
26-05-06 23:46:11.571 : [epoch 20 PSNR: 68.2715 Best: 68.2715]
26-05-06 23:48:49.350 : epoch:[21/1000], 平均loss: 0.0006
26-05-06 23:51:27.385 : epoch:[22/1000], 平均loss: 0.0007
26-05-06 23:54:02.555 : epoch:[23/1000], 平均loss: 0.0006
26-05-06 23:56:40.102 : epoch:[24/1000], 平均loss: 0.0005
26-05-06 23:59:15.259 : epoch:[25/1000], 平均loss: 0.0005
26-05-07 00:01:50.494 : epoch:[26/1000], 平均loss: 0.0004
26-05-07 00:04:28.066 : epoch:[27/1000], 平均loss: 0.0006
26-05-07 00:07:05.749 : epoch:[28/1000], 平均loss: 0.0004
26-05-07 00:09:43.522 : epoch:[29/1000], 平均loss: 0.0004
26-05-07 00:12:18.695 : epoch:[30/1000], 平均loss: 0.0004
26-05-07 00:13:23.331 : [epoch 30 PSNR: 71.4616 Best: 71.4616]
26-05-07 00:15:58.303 : epoch:[31/1000], 平均loss: 0.0003
26-05-07 00:18:33.548 : epoch:[32/1000], 平均loss: 0.0003
26-05-07 00:21:11.060 : epoch:[33/1000], 平均loss: 0.0004
26-05-07 00:23:48.721 : epoch:[34/1000], 平均loss: 0.0003
26-05-07 00:26:23.975 : epoch:[35/1000], 平均loss: 0.0003
26-05-07 00:29:01.198 : epoch:[36/1000], 平均loss: 0.0005
26-05-07 00:31:36.769 : epoch:[37/1000], 平均loss: 0.0002
26-05-07 00:34:11.813 : epoch:[38/1000], 平均loss: 0.0002
26-05-07 00:36:49.259 : epoch:[39/1000], 平均loss: 0.0002
26-05-07 00:39:24.604 : epoch:[40/1000], 平均loss: 0.0002
26-05-07 00:40:29.206 : [epoch 40 PSNR: 74.1399 Best: 74.1399]
26-05-07 00:43:06.756 : epoch:[41/1000], 平均loss: 0.0002
26-05-07 00:45:41.724 : epoch:[42/1000], 平均loss: 0.0002
26-05-07 00:48:16.802 : epoch:[43/1000], 平均loss: 0.0002
26-05-07 00:50:54.101 : epoch:[44/1000], 平均loss: 0.0002
