26-04-11 23:19:50.535 :   task: train
  gpu_ids: [0]
  log_path: ./log
  model_save: ./model_save
  pretained_path:[
    index: False
    path: ./model_save/model_best1.pth
  ]
  batch_size: 4
  nc: [16, 1]
  patch_size: [128, 128]
  stride_size: [16, 16]
  atoms: 50
  d_size: 3
  max_epoch: 1000
  stage: 3
  lr: 0.0001
  loss_function_index: 1
  n_channels: 1
  lambda_g: 0.1
  lambda_f: 0.05
  deep_w: 0.2
  train:[
    sigma: [15, 50]
    dataroot_H: ./dataset/gray_train_all
    H_size: 128
    n_channels: 1
  ]
  valid:[
    sigma: [15, 25, 50]
    dataroot_H: ./dataset/gray_test
    n_channels: 1
  ]
  opt_path: ./options/train_options.json
  is_train: True
  scale: 1

26-04-11 23:19:50.544 : 训练集大小: 1120
26-04-11 23:19:50.544 : 验证集数量: 720 (每个 sigma 一个 Dataset)
26-04-11 23:19:51.751 : Number of parameter: 3.26M
26-04-11 23:19:51.751 : start training...
26-04-11 23:22:49.831 : epoch:[1/1000], 平均loss: 0.1265, rec: 0.0497, grad: 0.0909, fft: 0.0275
26-04-11 23:25:44.768 : epoch:[2/1000], 平均loss: 0.0692, rec: 0.0360, grad: 0.0601, fft: 0.0172
26-04-11 23:28:38.860 : epoch:[3/1000], 平均loss: 0.0636, rec: 0.0330, grad: 0.0550, fft: 0.0159
26-04-11 23:31:36.535 : epoch:[4/1000], 平均loss: 0.0607, rec: 0.0312, grad: 0.0534, fft: 0.0153
26-04-11 23:34:46.610 : epoch:[5/1000], 平均loss: 0.0581, rec: 0.0296, grad: 0.0515, fft: 0.0148
26-04-11 23:37:56.126 : epoch:[6/1000], 平均loss: 0.0566, rec: 0.0288, grad: 0.0504, fft: 0.0145
26-04-11 23:41:05.734 : epoch:[7/1000], 平均loss: 0.0551, rec: 0.0280, grad: 0.0493, fft: 0.0143
26-04-11 23:44:15.252 : epoch:[8/1000], 平均loss: 0.0549, rec: 0.0279, grad: 0.0493, fft: 0.0143
26-04-11 23:47:18.501 : epoch:[9/1000], 平均loss: 0.0532, rec: 0.0270, grad: 0.0481, fft: 0.0139
26-04-11 23:50:22.536 : epoch:[10/1000], 平均loss: 0.0522, rec: 0.0265, grad: 0.0476, fft: 0.0138
26-04-11 23:53:49.949 : [epoch 10] loss: 0.0499, PSNR: 30.4436, SSIM: 0.8122, Best PSNR: 30.4436 @ epoch 10
26-04-11 23:53:49.949 :   sigma=15: loss=0.0451, psnr=30.7167, ssim=0.8167, attempted=1, valid=1
26-04-11 23:53:49.950 :   sigma=25: loss=0.0521, psnr=29.3391, ssim=0.7388, attempted=1, valid=1
26-04-11 23:53:49.950 :   sigma=50: loss=0.0654, psnr=27.5766, ssim=0.5358, attempted=1, valid=1
26-04-11 23:53:49.950 :   sigma=15: loss=0.0320, psnr=33.6686, ssim=0.8433, attempted=1, valid=1
26-04-11 23:53:49.950 :   sigma=25: loss=0.0375, psnr=32.1566, ssim=0.7713, attempted=1, valid=1
26-04-11 23:53:49.950 :   sigma=50: loss=0.0498, psnr=30.2798, ssim=0.6398, attempted=1, valid=1
26-04-11 23:53:49.950 :   sigma=15: loss=0.0259, psnr=35.7282, ssim=0.8652, attempted=1, valid=1
26-04-11 23:53:49.950 :   sigma=25: loss=0.0303, psnr=34.4082, ssim=0.8285, attempted=1, valid=1
26-04-11 23:53:49.951 :   sigma=50: loss=0.0417, psnr=32.2928, ssim=0.7543, attempted=1, valid=1
26-04-11 23:53:49.951 :   sigma=15: loss=0.0173, psnr=39.9910, ssim=0.9233, attempted=1, valid=1
26-04-11 23:53:49.951 :   sigma=25: loss=0.0211, psnr=38.6116, ssim=0.9027, attempted=1, valid=1
26-04-11 23:53:49.951 :   sigma=50: loss=0.0303, psnr=36.7718, ssim=0.8760, attempted=1, valid=1
26-04-11 23:53:49.951 :   sigma=15: loss=0.0220, psnr=37.0082, ssim=0.8625, attempted=1, valid=1
26-04-11 23:53:49.951 :   sigma=25: loss=0.0256, psnr=36.0468, ssim=0.8351, attempted=1, valid=1
26-04-11 23:53:49.951 :   sigma=50: loss=0.0341, psnr=34.6737, ssim=0.7985, attempted=1, valid=1
26-04-11 23:53:49.952 :   sigma=15: loss=0.0454, psnr=31.0627, ssim=0.9129, attempted=1, valid=1
26-04-11 23:53:49.952 :   sigma=25: loss=0.0536, psnr=29.0781, ssim=0.8604, attempted=1, valid=1
26-04-11 23:53:49.952 :   sigma=50: loss=0.0747, psnr=25.5850, ssim=0.6074, attempted=1, valid=1
26-04-11 23:53:49.952 :   sigma=15: loss=0.0418, psnr=31.3192, ssim=0.8186, attempted=1, valid=1
26-04-11 23:53:49.952 :   sigma=25: loss=0.0504, psnr=29.3425, ssim=0.7117, attempted=1, valid=1
26-04-11 23:53:49.952 :   sigma=50: loss=0.0652, psnr=27.2553, ssim=0.5102, attempted=1, valid=1
26-04-11 23:53:49.952 :   sigma=15: loss=0.0483, psnr=30.1174, ssim=0.8742, attempted=1, valid=1
26-04-11 23:53:49.953 :   sigma=25: loss=0.0558, psnr=28.6510, ssim=0.8353, attempted=1, valid=1
26-04-11 23:53:49.953 :   sigma=50: loss=0.0723, psnr=26.4362, ssim=0.7611, attempted=1, valid=1
26-04-11 23:53:49.953 :   sigma=15: loss=0.0302, psnr=33.7531, ssim=0.8437, attempted=1, valid=1
26-04-11 23:53:49.953 :   sigma=25: loss=0.0350, psnr=32.3971, ssim=0.8117, attempted=1, valid=1
26-04-11 23:53:49.953 :   sigma=50: loss=0.0472, psnr=29.8142, ssim=0.7559, attempted=1, valid=1
26-04-11 23:53:49.953 :   sigma=15: loss=0.0293, psnr=33.9826, ssim=0.8425, attempted=1, valid=1
26-04-11 23:53:49.953 :   sigma=25: loss=0.0336, psnr=32.6291, ssim=0.8179, attempted=1, valid=1
26-04-11 23:53:49.953 :   sigma=50: loss=0.0459, psnr=29.7140, ssim=0.7655, attempted=1, valid=1
26-04-11 23:53:49.954 :   sigma=15: loss=0.0260, psnr=35.7558, ssim=0.8737, attempted=1, valid=1
26-04-11 23:53:49.954 :   sigma=25: loss=0.0305, psnr=34.3753, ssim=0.8365, attempted=1, valid=1
26-04-11 23:53:49.954 :   sigma=50: loss=0.0416, psnr=32.3438, ssim=0.7826, attempted=1, valid=1
